journal_entry_id,line_number,account_id,cost_center_id,debit_amount,credit_amount,line_description
JE-000057,1,6020,CC900,40011.66,0,Benefits - CC900 - 2024-02
JE-000057,2,2020,CC900,0,40011.66,Benefits - CC900 - 2024-02
JE-000058,1,6030,CC600,41485.44,0,Rent and facilities - 2024-02
JE-000058,2,1010,CC600,0,41485.44,Rent and facilities - 2024-02
JE-000059,1,6040,CC999,17857.59,0,Depreciation - 2024-02
JE-000059,2,1120,CC999,0,17857.59,Depreciation - 2024-02
JE-000060,1,6050,CC400,68907.54,0,Professional services - 2024-02
JE-000060,2,2010,CC400,0,68907.54,Professional services - 2024-02
JE-000061,1,6060,CC300,38913.1,0,Marketing spend - 2024-02
JE-000061,2,2010,CC300,0,38913.1,Marketing spend - 2024-02
JE-000062,1,6070,CC200,4945.0,0,Travel and entertainment - 2024-02
JE-000062,2,1010,CC200,0,4945.0,Travel and entertainment - 2024-02
JE-000063,1,6080,CC100,28100.59,0,Software subscriptions - 2024-02
JE-000063,2,2010,CC100,0,28100.59,Software subscriptions - 2024-02
JE-000064,1,6100,CC600,8753.24,0,Utilities - 2024-02
JE-000064,2,2010,CC600,0,8753.24,Utilities - 2024-02
JE-000065,1,7010,CC400,6136.88,0,Interest expense - 2024-02
JE-000065,2,1010,CC400,0,6136.88,Interest expense - 2024-02
JE-000066,1,1010,CC400,490627.9,0,Cash collections - 2024-02
JE-000066,2,1020,CC400,0,490627.9,Cash collections - 2024-02
JE-000067,1,2010,CC400,267938.66,0,AP payments - 2024-02
JE-000067,2,1010,CC400,0,267938.66,AP payments - 2024-02
JE-000068,1,1020,CC200,372377.18,0,Product revenue - 2024-03
JE-000068,2,4010,CC200,0,372377.18,Product revenue - 2024-03
JE-000069,1,1020,CC200,160904.59,0,Service revenue - 2024-03
JE-000069,2,4020,CC200,0,160904.59,Service revenue - 2024-03
JE-000070,1,1020,CC200,78160.04,0,Subscription revenue - 2024-03
JE-000070,2,4030,CC200,0,78160.04,Subscription revenue - 2024-03
JE-000071,1,5010,CC600,221892.38,0,COGS product - 2024-03
JE-000071,2,1030,CC600,0,221892.38,COGS product - 2024-03
JE-000072,1,5020,CC600,60772.74,0,COGS services - 2024-03
JE-000072,2,2020,CC600,0,60772.74,COGS services - 2024-03
JE-000073,1,5030,CC900,21350.49,0,COGS subscriptions - 2024-03
JE-000073,2,2020,CC900,0,21350.49,COGS subscriptions - 2024-03
JE-000074,1,6010,CC100,181207.86,0,Payroll - CC100 - 2024-03
JE-000074,2,1010,CC100,0,181207.86,Payroll - CC100 - 2024-03
JE-000075,1,6010,CC200,121604.59,0,Payroll - CC200 - 2024-03
JE-000075,2,1010,CC200,0,121604.59,Payroll - CC200 - 2024-03
JE-000076,1,6010,CC300,65081.61,0,Payroll - CC300 - 2024-03
JE-000076,2,1010,CC300,0,65081.61,Payroll - CC300 - 2024-03
JE-000077,1,6010,CC400,47567.06,0,Payroll - CC400 - 2024-03
JE-000077,2,1010,CC400,0,47567.06,Payroll - CC400 - 2024-03
JE-000078,1,6010,CC500,34840.99,0,Payroll - CC500 - 2024-03
JE-000078,2,1010,CC500,0,34840.99,Payroll - CC500 - 2024-03
JE-000079,1,6010,CC600,58963.77,0,Payroll - CC600 - 2024-03
JE-000079,2,1010,CC600,0,58963.77,Payroll - CC600 - 2024-03
JE-000080,1,6010,CC700,52021.83,0,Payroll - CC700 - 2024-03
JE-000080,2,1010,CC700,0,52021.83,Payroll - CC700 - 2024-03
JE-000081,1,6010,CC800,73790.7,0,Payroll - CC800 - 2024-03
JE-000081,2,1010,CC800,0,73790.7,Payroll - CC800 - 2024-03
JE-000082,1,6010,CC900,148319.95,0,Payroll - CC900 - 2024-03
JE-000082,2,1010,CC900,0,148319.95,Payroll - CC900 - 2024-03
JE-000083,1,6020,CC100,49918.47,0,Benefits - CC100 - 2024-03
JE-000083,2,2020,CC100,0,49918.47,Benefits - CC100 - 2024-03
JE-000084,1,6020,CC200,30953.9,0,Benefits - CC200 - 2024-03
JE-000084,2,2020,CC200,0,30953.9,Benefits - CC200 - 2024-03
JE-000085,1,6020,CC300,16423.72,0,Benefits - CC300 - 2024-03
JE-000085,2,2020,CC300,0,16423.72,Benefits - CC300 - 2024-03
JE-000086,1,6020,CC400,12152.55,0,Benefits - CC400 - 2024-03
JE-000086,2,2020,CC400,0,12152.55,Benefits - CC400 - 2024-03
JE-000087,1,6020,CC500,9803.29,0,Benefits - CC500 - 2024-03
JE-000087,2,2020,CC500,0,9803.29,Benefits - CC500 - 2024-03
JE-000088,1,6020,CC600,17076.14,0,Benefits - CC600 - 2024-03
JE-000088,2,2020,CC600,0,17076.14,Benefits - CC600 - 2024-03
JE-000089,1,6020,CC700,14103.54,0,Benefits - CC700 - 2024-03
JE-000089,2,2020,CC700,0,14103.54,Benefits - CC700 - 2024-03
JE-000090,1,6020,CC800,18682.06,0,Benefits - CC800 - 2024-03
JE-000090,2,2020,CC800,0,18682.06,Benefits - CC800 - 2024-03
JE-000091,1,6020,CC900,39910.08,0,Benefits - CC900 - 2024-03
JE-000091,2,2020,CC900,0,39910.08,Benefits - CC900 - 2024-03
JE-000092,1,6030,CC600,45401.82,0,Rent and facilities - 2024-03
JE-000092,2,1010,CC600,0,45401.82,Rent and facilities - 2024-03
JE-000093,1,6040,CC999,18613.47,0,Depreciation - 2024-03
JE-000093,2,1120,CC999,0,18613.47,Depreciation - 2024-03
JE-000094,1,6050,CC400,34551.4,0,Professional services - 2024-03
JE-000094,2,2010,CC400,0,34551.4,Professional services - 2024-03
JE-000095,1,6060,CC300,44615.83,0,Marketing spend - 2024-03
JE-000095,2,2010,CC300,0,44615.83,Marketing spend - 2024-03
JE-000096,1,6070,CC800,10213.18,0,Travel and entertainment - 2024-03
JE-000096,2,1010,CC800,0,10213.18,Travel and entertainment - 2024-03
JE-000097,1,6080,CC100,28028.31,0,Software subscriptions - 2024-03
JE-000097,2,2010,CC100,0,28028.31,Software subscriptions - 2024-03
JE-000098,1,6090,CC999,13289.12,0,Insurance - 2024-Q1
JE-000098,2,1040,CC999,0,13289.12,Insurance - 2024-Q1
JE-000099,1,6100,CC600,8052.57,0,Utilities - 2024-03
JE-000099,2,2010,CC600,0,8052.57,Utilities - 2024-03
JE-000100,1,7010,CC400,6340.67,0,Interest expense - 2024-03
JE-000100,2,1010,CC400,0,6340.67,Interest expense - 2024-03
JE-000101,1,7020,CC400,58254.03,0,Tax provision - 2024-Q1
JE-000101,2,2020,CC400,0,58254.03,Tax provision - 2024-Q1
JE-000102,1,1010,CC400,489391.57,0,Cash collections - 2024-03
JE-000102,2,1020,CC400,0,489391.57,Cash collections - 2024-03
JE-000103,1,2010,CC400,267716.69,0,AP payments - 2024-03
JE-000103,2,1010,CC400,0,267716.69,AP payments - 2024-03
JE-000104,1,1020,CC200,386980.75,0,Product revenue - 2024-04
JE-000104,2,4010,CC200,0,386980.75,Product revenue - 2024-04
JE-000105,1,1020,CC200,133603.55,0,Service revenue - 2024-04
JE-000105,2,4020,CC200,0,133603.55,Service revenue - 2024-04
JE-000106,1,1020,CC200,90674.62,0,Subscription revenue - 2024-04
JE-000106,2,4030,CC200,0,90674.62,Subscription revenue - 2024-04
JE-000107,1,5010,CC600,215721.94,0,COGS product - 2024-04
JE-000107,2,1030,CC600,0,215721.94,COGS product - 2024-04
JE-000108,1,5020,CC600,52609.21,0,COGS services - 2024-04
JE-000108,2,2020,CC600,0,52609.21,COGS services - 2024-04
JE-000109,1,5030,CC900,24240.37,0,COGS subscriptions - 2024-04
JE-000109,2,2020,CC900,0,24240.37,COGS subscriptions - 2024-04
JE-000110,1,6010,CC100,179064.37,0,Payroll - CC100 - 2024-04
JE-000110,2,1010,CC100,0,179064.37,Payroll - CC100 - 2024-04
JE-000111,1,6010,CC200,114678.11,0,Payroll - CC200 - 2024-04
JE-000111,2,1010,CC200,0,114678.11,Payroll - CC200 - 2024-04
JE-000112,1,6010,CC300,64903.84,0,Payroll - CC300 - 2024-04
JE-000112,2,1010,CC300,0,64903.84,Payroll - CC300 - 2024-04
JE-000113,1,6010,CC400,44166.23,0,Payroll - CC400 - 2024-04
JE-000113,2,1010,CC400,0,44166.23,Payroll - CC400 - 2024-04
JE-000114,1,6010,CC500,35633.92,0,Payroll - CC500 - 2024-04
JE-000114,2,1010,CC500,0,35633.92,Payroll - CC500 - 2024-04
JE-000115,1,6010,CC600,61496.26,0,Payroll - CC600 - 2024-04
JE-000115,2,1010,CC600,0,61496.26,Payroll - CC600 - 2024-04
JE-000116,1,6010,CC700,48371.73,0,Payroll - CC700 - 2024-04
JE-000116,2,1010,CC700,0,48371.73,Payroll - CC700 - 2024-04
JE-000117,1,6010,CC800,77356.71,0,Payroll - CC800 - 2024-04
JE-000117,2,1010,CC800,0,77356.71,Payroll - CC800 - 2024-04
JE-000118,1,6010,CC900,141687.96,0,Payroll - CC900 - 2024-04
JE-000118,2,1010,CC900,0,141687.96,Payroll - CC900 - 2024-04
JE-000119,1,6020,CC100,49140.69,0,Benefits - CC100 - 2024-04
JE-000119,2,2020,CC100,0,49140.69,Benefits - CC100 - 2024-04
JE-000120,1,6020,CC200,29310.97,0,Benefits - CC200 - 2024-04
JE-000120,2,2020,CC200,0,29310.97,Benefits - CC200 - 2024-04
JE-000121,1,6020,CC300,17403.9,0,Benefits - CC300 - 2024-04
JE-000121,2,2020,CC300,0,17403.9,Benefits - CC300 - 2024-04
JE-000122,1,6020,CC400,13217.45,0,Benefits - CC400 - 2024-04
JE-000122,2,2020,CC400,0,13217.45,Benefits - CC400 - 2024-04
JE-000123,1,6020,CC500,10345.91,0,Benefits - CC500 - 2024-04
JE-000123,2,2020,CC500,0,10345.91,Benefits - CC500 - 2024-04
JE-000124,1,6020,CC600,16110.34,0,Benefits - CC600 - 2024-04
JE-000124,2,2020,CC600,0,16110.34,Benefits - CC600 - 2024-04
JE-000125,1,6020,CC700,12675.5,0,Benefits - CC700 - 2024-04
JE-000125,2,2020,CC700,0,12675.5,Benefits - CC700 - 2024-04
JE-000126,1,6020,CC800,21533.62,0,Benefits - CC800 - 2024-04
JE-000126,2,2020,CC800,0,21533.62,Benefits - CC800 - 2024-04
JE-000127,1,6020,CC900,35979.94,0,Benefits - CC900 - 2024-04
JE-000127,2,2020,CC900,0,35979.94,Benefits - CC900 - 2024-04
JE-000128,1,6030,CC600,41791.27,0,Rent and facilities - 2024-04
JE-000128,2,1010,CC600,0,41791.27,Rent and facilities - 2024-04
JE-000129,1,6040,CC999,17085.9,0,Depreciation - 2024-04
JE-000129,2,1120,CC999,0,17085.9,Depreciation - 2024-04
JE-000130,1,6050,CC800,27386.72,0,Professional services - 2024-04
JE-000130,2,2010,CC800,0,27386.72,Professional services - 2024-04
JE-000131,1,6060,CC300,51043.94,0,Marketing spend - 2024-04
JE-000131,2,2010,CC300,0,51043.94,Marketing spend - 2024-04
JE-000132,1,6070,CC300,7007.28,0,Travel and entertainment - 2024-04
JE-000132,2,1010,CC300,0,7007.28,Travel and entertainment - 2024-04
JE-000133,1,6080,CC100,28586.27,0,Software subscriptions - 2024-04
JE-000133,2,2010,CC100,0,28586.27,Software subscriptions - 2024-04
JE-000134,1,6100,CC600,7154.64,0,Utilities - 2024-04
JE-000134,2,2010,CC600,0,7154.64,Utilities - 2024-04
JE-000135,1,7010,CC400,6152.74,0,Interest expense - 2024-04
JE-000135,2,1010,CC400,0,6152.74,Interest expense - 2024-04
JE-000136,1,1010,CC400,559744.19,0,Cash collections - 2024-04
JE-000136,2,1020,CC400,0,559744.19,Cash collections - 2024-04
JE-000137,1,2010,CC400,274411.3,0,AP payments - 2024-04
JE-000137,2,1010,CC400,0,274411.3,AP payments - 2024-04
JE-000138,1,1020,CC200,400202.06,0,Product revenue - 2024-05
JE-000138,2,4010,CC200,0,400202.06,Product revenue - 2024-05
JE-000139,1,1020,CC200,149206.58,0,Service revenue - 2024-05
JE-000139,2,4020,CC200,0,149206.58,Service revenue - 2024-05
JE-000140,1,1020,CC200,89144.19,0,Subscription revenue - 2024-05
JE-000140,2,4030,CC200,0,89144.19,Subscription revenue - 2024-05
JE-000141,1,5010,CC600,238927.87,0,COGS product - 2024-05
JE-000141,2,1030,CC600,0,238927.87,COGS product - 2024-05
JE-000142,1,5020,CC600,56122.48,0,COGS services - 2024-05
JE-000142,2,2020,CC600,0,56122.48,COGS services - 2024-05
JE-000143,1,5030,CC900,24244.47,0,COGS subscriptions - 2024-05
JE-000143,2,2020,CC900,0,24244.47,COGS subscriptions - 2024-05
JE-000144,1,6010,CC100,180090.57,0,Payroll - CC100 - 2024-05
JE-000144,2,1010,CC100,0,180090.57,Payroll - CC100 - 2024-05
JE-000145,1,6010,CC200,114239.64,0,Payroll - CC200 - 2024-05
JE-000145,2,1010,CC200,0,114239.64,Payroll - CC200 - 2024-05
JE-000146,1,6010,CC300,65679.64,0,Payroll - CC300 - 2024-05
JE-000146,2,1010,CC300,0,65679.64,Payroll - CC300 - 2024-05
JE-000147,1,6010,CC400,45379.47,0,Payroll - CC400 - 2024-05
JE-000147,2,1010,CC400,0,45379.47,Payroll - CC400 - 2024-05
JE-000148,1,6010,CC500,35121.1,0,Payroll - CC500 - 2024-05
JE-000148,2,1010,CC500,0,35121.1,Payroll - CC500 - 2024-05
JE-000149,1,6010,CC600,51229.69,0,Payroll - CC600 - 2024-05
JE-000149,2,1010,CC600,0,51229.69,Payroll - CC600 - 2024-05
JE-000150,1,6010,CC700,48892.83,0,Payroll - CC700 - 2024-05
JE-000150,2,1010,CC700,0,48892.83,Payroll - CC700 - 2024-05
JE-000151,1,6010,CC800,78134.26,0,Payroll - CC800 - 2024-05
JE-000151,2,1010,CC800,0,78134.26,Payroll - CC800 - 2024-05
JE-000152,1,6010,CC900,145354.27,0,Payroll - CC900 - 2024-05
JE-000152,2,1010,CC900,0,145354.27,Payroll - CC900 - 2024-05
JE-000153,1,6020,CC100,45552.77,0,Benefits - CC100 - 2024-05
JE-000153,2,2020,CC100,0,45552.77,Benefits - CC100 - 2024-05
JE-000154,1,6020,CC200,28944.9,0,Benefits - CC200 - 2024-05
JE-000154,2,2020,CC200,0,28944.9,Benefits - CC200 - 2024-05
JE-000155,1,6020,CC300,16523.07,0,Benefits - CC300 - 2024-05
JE-000155,2,2020,CC300,0,16523.07,Benefits - CC300 - 2024-05
JE-000156,1,6020,CC400,12094.6,0,Benefits - CC400 - 2024-05
JE-000156,2,2020,CC400,0,12094.6,Benefits - CC400 - 2024-05
JE-000157,1,6020,CC500,9683.16,0,Benefits - CC500 - 2024-05
JE-000157,2,2020,CC500,0,9683.16,Benefits - CC500 - 2024-05
JE-000158,1,6020,CC600,13520.74,0,Benefits - CC600 - 2024-05
JE-000158,2,2020,CC600,0,13520.74,Benefits - CC600 - 2024-05
JE-000159,1,6020,CC700,13409.87,0,Benefits - CC700 - 2024-05
JE-000159,2,2020,CC700,0,13409.87,Benefits - CC700 - 2024-05
JE-000160,1,6020,CC800,21640.2,0,Benefits - CC800 - 2024-05
JE-000160,2,2020,CC800,0,21640.2,Benefits - CC800 - 2024-05
JE-000161,1,6020,CC900,41595.69,0,Benefits - CC900 - 2024-05
JE-000161,2,2020,CC900,0,41595.69,Benefits - CC900 - 2024-05
JE-000162,1,6030,CC600,42968.53,0,Rent and facilities - 2024-05
JE-000162,2,1010,CC600,0,42968.53,Rent and facilities - 2024-05
JE-000163,1,6040,CC999,17558.7,0,Depreciation - 2024-05
JE-000163,2,1120,CC999,0,17558.7,Depreciation - 2024-05
JE-000164,1,6060,CC300,40762.17,0,Marketing spend - 2024-05
JE-000164,2,2010,CC300,0,40762.17,Marketing spend - 2024-05
JE-000165,1,6070,CC200,12691.15,0,Travel and entertainment - 2024-05
JE-000165,2,1010,CC200,0,12691.15,Travel and entertainment - 2024-05
JE-000166,1,6080,CC100,30613.26,0,Software subscriptions - 2024-05
JE-000166,2,2010,CC100,0,30613.26,Software subscriptions - 2024-05
JE-000167,1,6100,CC600,9107.57,0,Utilities - 2024-05
JE-000167,2,2010,CC600,0,9107.57,Utilities - 2024-05
JE-000168,1,7010,CC400,6001.0,0,Interest expense - 2024-05
JE-000168,2,1010,CC400,0,6001.0,Interest expense - 2024-05
JE-000169,1,1010,CC400,566708.68,0,Cash collections - 2024-05
JE-000169,2,1020,CC400,0,566708.68,Cash collections - 2024-05
JE-000170,1,2010,CC400,274583.95,0,AP payments - 2024-05
JE-000170,2,1010,CC400,0,274583.95,AP payments - 2024-05
JE-000171,1,1020,CC200,411307.69,0,Product revenue - 2024-06
JE-000171,2,4010,CC200,0,411307.69,Product revenue - 2024-06
JE-000172,1,1020,CC200,177454.54,0,Service revenue - 2024-06
JE-000172,2,4020,CC200,0,177454.54,Service revenue - 2024-06
JE-000173,1,1020,CC200,90035.23,0,Subscription revenue - 2024-06
JE-000173,2,4030,CC200,0,90035.23,Subscription revenue - 2024-06
JE-000174,1,5010,CC600,237811.32,0,COGS product - 2024-06
JE-000174,2,1030,CC600,0,237811.32,COGS product - 2024-06
JE-000175,1,5020,CC600,66323.84,0,COGS services - 2024-06
JE-000175,2,2020,CC600,0,66323.84,COGS services - 2024-06
JE-000176,1,5030,CC900,24213.52,0,COGS subscriptions - 2024-06
JE-000176,2,2020,CC900,0,24213.52,COGS subscriptions - 2024-06
JE-000177,1,6010,CC100,185027.42,0,Payroll - CC100 - 2024-06
JE-000177,2,1010,CC100,0,185027.42,Payroll - CC100 - 2024-06
JE-000178,1,6010,CC200,125196.48,0,Payroll - CC200 - 2024-06
JE-000178,2,1010,CC200,0,125196.48,Payroll - CC200 - 2024-06
JE-000179,1,6010,CC300,62021.65,0,Payroll - CC300 - 2024-06
JE-000179,2,1010,CC300,0,62021.65,Payroll - CC300 - 2024-06
JE-000180,1,6010,CC400,45664.33,0,Payroll - CC400 - 2024-06
JE-000180,2,1010,CC400,0,45664.33,Payroll - CC400 - 2024-06
JE-000181,1,6010,CC500,34797.12,0,Payroll - CC500 - 2024-06
JE-000181,2,1010,CC500,0,34797.12,Payroll - CC500 - 2024-06
JE-000182,1,6010,CC600,57238.08,0,Payroll - CC600 - 2024-06
JE-000182,2,1010,CC600,0,57238.08,Payroll - CC600 - 2024-06
JE-000183,1,6010,CC700,52396.78,0,Payroll - CC700 - 2024-06
JE-000183,2,1010,CC700,0,52396.78,Payroll - CC700 - 2024-06
JE-000184,1,6010,CC800,73996.56,0,Payroll - CC800 - 2024-06
JE-000184,2,1010,CC800,0,73996.56,Payroll - CC800 - 2024-06
JE-000185,1,6010,CC900,149070.63,0,Payroll - CC900 - 2024-06
JE-000185,2,1010,CC900,0,149070.63,Payroll - CC900 - 2024-06
JE-000186,1,6020,CC100,46724.87,0,Benefits - CC100 - 2024-06
JE-000186,2,2020,CC100,0,46724.87,Benefits - CC100 - 2024-06
JE-000187,1,6020,CC200,37554.45,0,Benefits - CC200 - 2024-06
JE-000187,2,2020,CC200,0,37554.45,Benefits - CC200 - 2024-06
JE-000188,1,6020,CC300,18098.0,0,Benefits - CC300 - 2024-06
JE-000188,2,2020,CC300,0,18098.0,Benefits - CC300 - 2024-06
JE-000189,1,6020,CC400,13628.51,0,Benefits - CC400 - 2024-06
JE-000189,2,2020,CC400,0,13628.51,Benefits - CC400 - 2024-06
JE-000190,1,6020,CC500,10311.02,0,Benefits - CC500 - 2024-06
JE-000190,2,2020,CC500,0,10311.02,Benefits - CC500 - 2024-06
JE-000191,1,6020,CC600,16738.4,0,Benefits - CC600 - 2024-06
