journal_entry_id,posting_date,description,source_system,created_by,status,created_at
JE-000086,2024-03-28,Benefits - CC400 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000087,2024-03-28,Benefits - CC500 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000088,2024-03-28,Benefits - CC600 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000089,2024-03-28,Benefits - CC700 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000090,2024-03-28,Benefits - CC800 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000091,2024-03-28,Benefits - CC900 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000092,2024-03-28,Rent and facilities - 2024-03,AP System,Accounts Payable,Posted,2024-03-28 00:00:00
JE-000093,2024-03-28,Depreciation - 2024-03,Fixed Assets,Depreciation Module,Posted,2024-03-28 00:00:00
JE-000094,2024-03-28,Professional services - 2024-03,AP System,Accounts Payable,Posted,2024-03-28 00:00:00
JE-000095,2024-03-28,Marketing spend - 2024-03,AP System,Accounts Payable,Posted,2024-03-28 00:00:00
JE-000096,2024-03-28,Travel and entertainment - 2024-03,Concur,Expense System,Posted,2024-03-28 00:00:00
JE-000097,2024-03-28,Software subscriptions - 2024-03,AP System,Accounts Payable,Posted,2024-03-28 00:00:00
JE-000098,2024-03-28,Insurance - 2024-Q1,AP System,Accounts Payable,Posted,2024-03-28 00:00:00
JE-000099,2024-03-28,Utilities - 2024-03,AP System,Accounts Payable,Posted,2024-03-28 00:00:00
JE-000100,2024-03-28,Interest expense - 2024-03,Treasury,Debt Module,Posted,2024-03-28 00:00:00
JE-000101,2024-03-28,Tax provision - 2024-Q1,Tax System,Tax Module,Posted,2024-03-28 00:00:00
JE-000102,2024-03-23,Cash collections - 2024-03,ERP,Collections Module,Posted,2024-03-23 00:00:00
JE-000103,2024-03-18,AP payments - 2024-03,AP System,Payment Run,Posted,2024-03-18 00:00:00
JE-000104,2024-04-28,Product revenue - 2024-04,ERP,Revenue Module,Posted,2024-04-28 00:00:00
JE-000105,2024-04-28,Service revenue - 2024-04,ERP,Revenue Module,Posted,2024-04-28 00:00:00
JE-000106,2024-04-28,Subscription revenue - 2024-04,ERP,Revenue Module,Posted,2024-04-28 00:00:00
JE-000107,2024-04-28,COGS product - 2024-04,ERP,Cost Module,Posted,2024-04-28 00:00:00
JE-000108,2024-04-28,COGS services - 2024-04,ERP,Cost Module,Posted,2024-04-28 00:00:00
JE-000109,2024-04-28,COGS subscriptions - 2024-04,ERP,Cost Module,Posted,2024-04-28 00:00:00
JE-000110,2024-04-28,Payroll - CC100 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000111,2024-04-28,Payroll - CC200 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000112,2024-04-28,Payroll - CC300 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000113,2024-04-28,Payroll - CC400 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000114,2024-04-28,Payroll - CC500 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000115,2024-04-28,Payroll - CC600 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000116,2024-04-28,Payroll - CC700 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000117,2024-04-28,Payroll - CC800 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000118,2024-04-28,Payroll - CC900 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000119,2024-04-28,Benefits - CC100 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000120,2024-04-28,Benefits - CC200 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000121,2024-04-28,Benefits - CC300 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000122,2024-04-28,Benefits - CC400 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000123,2024-04-28,Benefits - CC500 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000124,2024-04-28,Benefits - CC600 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000125,2024-04-28,Benefits - CC700 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000126,2024-04-28,Benefits - CC800 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000127,2024-04-28,Benefits - CC900 - 2024-04,Payroll System,ADP Integration,Posted,2024-04-28 00:00:00
JE-000128,2024-04-28,Rent and facilities - 2024-04,AP System,Accounts Payable,Posted,2024-04-28 00:00:00
JE-000129,2024-04-28,Depreciation - 2024-04,Fixed Assets,Depreciation Module,Posted,2024-04-28 00:00:00
JE-000130,2024-04-28,Professional services - 2024-04,AP System,Accounts Payable,Posted,2024-04-28 00:00:00
JE-000131,2024-04-28,Marketing spend - 2024-04,AP System,Accounts Payable,Posted,2024-04-28 00:00:00
JE-000132,2024-04-28,Travel and entertainment - 2024-04,Concur,Expense System,Posted,2024-04-28 00:00:00
JE-000133,2024-04-28,Software subscriptions - 2024-04,AP System,Accounts Payable,Posted,2024-04-28 00:00:00
JE-000134,2024-04-28,Utilities - 2024-04,AP System,Accounts Payable,Posted,2024-04-28 00:00:00
JE-000135,2024-04-28,Interest expense - 2024-04,Treasury,Debt Module,Posted,2024-04-28 00:00:00
JE-000136,2024-04-23,Cash collections - 2024-04,ERP,Collections Module,Posted,2024-04-23 00:00:00
JE-000137,2024-04-18,AP payments - 2024-04,AP System,Payment Run,Posted,2024-04-18 00:00:00
JE-000138,2024-05-28,Product revenue - 2024-05,ERP,Revenue Module,Posted,2024-05-28 00:00:00
JE-000139,2024-05-28,Service revenue - 2024-05,ERP,Revenue Module,Posted,2024-05-28 00:00:00
JE-000140,2024-05-28,Subscription revenue - 2024-05,ERP,Revenue Module,Posted,2024-05-28 00:00:00
JE-000141,2024-05-28,COGS product - 2024-05,ERP,Cost Module,Posted,2024-05-28 00:00:00
JE-000142,2024-05-28,COGS services - 2024-05,ERP,Cost Module,Posted,2024-05-28 00:00:00
JE-000143,2024-05-28,COGS subscriptions - 2024-05,ERP,Cost Module,Posted,2024-05-28 00:00:00
JE-000144,2024-05-28,Payroll - CC100 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000145,2024-05-28,Payroll - CC200 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000146,2024-05-28,Payroll - CC300 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000147,2024-05-28,Payroll - CC400 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000148,2024-05-28,Payroll - CC500 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000149,2024-05-28,Payroll - CC600 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000150,2024-05-28,Payroll - CC700 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000151,2024-05-28,Payroll - CC800 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000152,2024-05-28,Payroll - CC900 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000153,2024-05-28,Benefits - CC100 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000154,2024-05-28,Benefits - CC200 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000155,2024-05-28,Benefits - CC300 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000156,2024-05-28,Benefits - CC400 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000157,2024-05-28,Benefits - CC500 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000158,2024-05-28,Benefits - CC600 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000159,2024-05-28,Benefits - CC700 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000160,2024-05-28,Benefits - CC800 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000161,2024-05-28,Benefits - CC900 - 2024-05,Payroll System,ADP Integration,Posted,2024-05-28 00:00:00
JE-000162,2024-05-28,Rent and facilities - 2024-05,AP System,Accounts Payable,Posted,2024-05-28 00:00:00
JE-000163,2024-05-28,Depreciation - 2024-05,Fixed Assets,Depreciation Module,Posted,2024-05-28 00:00:00
JE-000164,2024-05-28,Marketing spend - 2024-05,AP System,Accounts Payable,Posted,2024-05-28 00:00:00
JE-000165,2024-05-28,Travel and entertainment - 2024-05,Concur,Expense System,Posted,2024-05-28 00:00:00
JE-000166,2024-05-28,Software subscriptions - 2024-05,AP System,Accounts Payable,Posted,2024-05-28 00:00:00
JE-000167,2024-05-28,Utilities - 2024-05,AP System,Accounts Payable,Posted,2024-05-28 00:00:00
JE-000168,2024-05-28,Interest expense - 2024-05,Treasury,Debt Module,Posted,2024-05-28 00:00:00
JE-000169,2024-05-23,Cash collections - 2024-05,ERP,Collections Module,Posted,2024-05-23 00:00:00
JE-000170,2024-05-18,AP payments - 2024-05,AP System,Payment Run,Posted,2024-05-18 00:00:00
JE-000171,2024-06-28,Product revenue - 2024-06,ERP,Revenue Module,Posted,2024-06-28 00:00:00
JE-000172,2024-06-28,Service revenue - 2024-06,ERP,Revenue Module,Posted,2024-06-28 00:00:00
JE-000173,2024-06-28,Subscription revenue - 2024-06,ERP,Revenue Module,Posted,2024-06-28 00:00:00
JE-000174,2024-06-28,COGS product - 2024-06,ERP,Cost Module,Posted,2024-06-28 00:00:00
JE-000175,2024-06-28,COGS services - 2024-06,ERP,Cost Module,Posted,2024-06-28 00:00:00
JE-000176,2024-06-28,COGS subscriptions - 2024-06,ERP,Cost Module,Posted,2024-06-28 00:00:00
JE-000177,2024-06-28,Payroll - CC100 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000178,2024-06-28,Payroll - CC200 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000179,2024-06-28,Payroll - CC300 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000180,2024-06-28,Payroll - CC400 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000181,2024-06-28,Payroll - CC500 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000182,2024-06-28,Payroll - CC600 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000183,2024-06-28,Payroll - CC700 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000184,2024-06-28,Payroll - CC800 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000185,2024-06-28,Payroll - CC900 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000186,2024-06-28,Benefits - CC100 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000187,2024-06-28,Benefits - CC200 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000188,2024-06-28,Benefits - CC300 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000189,2024-06-28,Benefits - CC400 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000190,2024-06-28,Benefits - CC500 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000191,2024-06-28,Benefits - CC600 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000192,2024-06-28,Benefits - CC700 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000193,2024-06-28,Benefits - CC800 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000194,2024-06-28,Benefits - CC900 - 2024-06,Payroll System,ADP Integration,Posted,2024-06-28 00:00:00
JE-000195,2024-06-28,Rent and facilities - 2024-06,AP System,Accounts Payable,Posted,2024-06-28 00:00:00
JE-000196,2024-06-28,Depreciation - 2024-06,Fixed Assets,Depreciation Module,Posted,2024-06-28 00:00:00
JE-000197,2024-06-28,Professional services - 2024-06,AP System,Accounts Payable,Posted,2024-06-28 00:00:00
JE-000198,2024-06-28,Marketing spend - 2024-06,AP System,Accounts Payable,Posted,2024-06-28 00:00:00
JE-000199,2024-06-28,Travel and entertainment - 2024-06,Concur,Expense System,Posted,2024-06-28 00:00:00
JE-000200,2024-06-28,Software subscriptions - 2024-06,AP System,Accounts Payable,Posted,2024-06-28 00:00:00
JE-000201,2024-06-28,Insurance - 2024-Q2,AP System,Accounts Payable,Posted,2024-06-28 00:00:00
JE-000202,2024-06-28,Utilities - 2024-06,AP System,Accounts Payable,Posted,2024-06-28 00:00:00
JE-000203,2024-06-28,Interest expense - 2024-06,Treasury,Debt Module,Posted,2024-06-28 00:00:00
JE-000204,2024-06-28,Tax provision - 2024-Q2,Tax System,Tax Module,Posted,2024-06-28 00:00:00
JE-000205,2024-06-23,Cash collections - 2024-06,ERP,Collections Module,Posted,2024-06-23 00:00:00
JE-000206,2024-06-18,AP payments - 2024-06,AP System,Payment Run,Posted,2024-06-18 00:00:00
JE-000207,2024-07-28,Product revenue - 2024-07,ERP,Revenue Module,Posted,2024-07-28 00:00:00
JE-000208,2024-07-28,Service revenue - 2024-07,ERP,Revenue Module,Posted,2024-07-28 00:00:00
JE-000209,2024-07-28,Subscription revenue - 2024-07,ERP,Revenue Module,Posted,2024-07-28 00:00:00
JE-000210,2024-07-28,COGS product - 2024-07,ERP,Cost Module,Posted,2024-07-28 00:00:00
JE-000211,2024-07-28,COGS services - 2024-07,ERP,Cost Module,Posted,2024-07-28 00:00:00
JE-000212,2024-07-28,COGS subscriptions - 2024-07,ERP,Cost Module,Posted,2024-07-28 00:00:00
JE-000213,2024-07-28,Payroll - CC100 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000214,2024-07-28,Payroll - CC200 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000215,2024-07-28,Payroll - CC300 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000216,2024-07-28,Payroll - CC400 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000217,2024-07-28,Payroll - CC500 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000218,2024-07-28,Payroll - CC600 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000219,2024-07-28,Payroll - CC700 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000220,2024-07-28,Payroll - CC800 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000221,2024-07-28,Payroll - CC900 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000222,2024-07-28,Benefits - CC100 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000223,2024-07-28,Benefits - CC200 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000224,2024-07-28,Benefits - CC300 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000225,2024-07-28,Benefits - CC400 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000226,2024-07-28,Benefits - CC500 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000227,2024-07-28,Benefits - CC600 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000228,2024-07-28,Benefits - CC700 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000229,2024-07-28,Benefits - CC800 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000230,2024-07-28,Benefits - CC900 - 2024-07,Payroll System,ADP Integration,Posted,2024-07-28 00:00:00
JE-000231,2024-07-28,Rent and facilities - 2024-07,AP System,Accounts Payable,Posted,2024-07-28 00:00:00
JE-000232,2024-07-28,Depreciation - 2024-07,Fixed Assets,Depreciation Module,Posted,2024-07-28 00:00:00
JE-000233,2024-07-28,Professional services - 2024-07,AP System,Accounts Payable,Posted,2024-07-28 00:00:00
JE-000234,2024-07-28,Marketing spend - 2024-07,AP System,Accounts Payable,Posted,2024-07-28 00:00:00
JE-000235,2024-07-28,Travel and entertainment - 2024-07,Concur,Expense System,Posted,2024-07-28 00:00:00
JE-000236,2024-07-28,Software subscriptions - 2024-07,AP System,Accounts Payable,Posted,2024-07-28 00:00:00
JE-000237,2024-07-28,Utilities - 2024-07,AP System,Accounts Payable,Posted,2024-07-28 00:00:00
JE-000238,2024-07-28,Interest expense - 2024-07,Treasury,Debt Module,Posted,2024-07-28 00:00:00
JE-000239,2024-07-23,Cash collections - 2024-07,ERP,Collections Module,Posted,2024-07-23 00:00:00
JE-000240,2024-07-18,AP payments - 2024-07,AP System,Payment Run,Posted,2024-07-18 00:00:00
JE-000241,2024-08-28,Product revenue - 2024-08,ERP,Revenue Module,Posted,2024-08-28 00:00:00
JE-000242,2024-08-28,Service revenue - 2024-08,ERP,Revenue Module,Posted,2024-08-28 00:00:00
JE-000243,2024-08-28,Subscription revenue - 2024-08,ERP,Revenue Module,Posted,2024-08-28 00:00:00
JE-000244,2024-08-28,COGS product - 2024-08,ERP,Cost Module,Posted,2024-08-28 00:00:00
JE-000245,2024-08-28,COGS services - 2024-08,ERP,Cost Module,Posted,2024-08-28 00:00:00
JE-000246,2024-08-28,COGS subscriptions - 2024-08,ERP,Cost Module,Posted,2024-08-28 00:00:00
JE-000247,2024-08-28,Payroll - CC100 - 2024-08,Payroll System,ADP Integration,Posted,2024-08-28 00:00:00
